sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,asphalt,brick,transition
2,1775669100720,-81,3311,11490,-3463605,1830152,789237,0,0,0,228,418,233,312,352,351,321,289,249,189,217,207,0,,,
1,1775669100736,-1880,2139,9514,0,-147829,13439,0,0,0,341,330,259,357,207,310,532,462,315,433,484,133,0,,,
2,1775669100736,-756,3268,12696,-3677408,1765400,684169,0,0,0,231,422,236,314,352,352,321,290,247,189,217,206,0,,,
1,1775669100752,-1895,2148,9514,0,-149051,19547,0,0,0,341,330,260,359,208,310,534,468,315,430,484,135,0,,,
2,1775669100752,-1196,2479,13601,-3794694,1633453,494800,0,0,0,227,424,238,312,351,352,318,288,250,190,221,208,0,,,
1,1775669100768,-1928,2163,9518,4886,-147829,21991,0,0,0,341,329,258,359,213,306,536,470,324,427,486,131,0,,,
2,1775669100768,-1368,2100,14261,-3786142,1469741,266337,0,0,0,225,423,238,309,350,352,319,289,251,191,223,209,0,,,
1,1775669100784,-1952,2172,9528,18325,-135612,26878,0,0,0,344,328,256,356,209,305,542,466,332,427,490,133,0,,,
2,1775669100784,-1119,2211,14711,-3797138,1293812,53756,0,0,0,225,423,238,310,349,353,323,292,254,188,217,210,0,,,
1,1775669100800,-1952,2177,9523,32986,-123394,32986,0,0,0,343,329,256,353,206,307,532,457,330,426,495,140,0,,,
2,1775669100800,-693,2278,15080,-3835011,1148426,-111177,0,0,0,229,424,240,316,352,356,326,295,256,182,208,211,0,,,
1,1775669100816,-1952,2163,9514,43982,-117286,36651,0,0,0,340,330,255,355,209,310,523,457,323,425,495,147,0,,,
2,1775669100816,-191,2268,15257,-3847229,1066570,-153938,0,0,0,231,426,241,319,356,357,331,301,258,176,198,213,0,,,
1,1775669100832,-1962,2148,9514,52534,-112399,37873,0,0,0,341,330,257,360,205,314,539,469,321,428,487,149,0,,,
2,1775669100832,397,2211,15348,-3844785,1029918,-128281,0,0,0,232,426,240,319,356,356,330,301,257,177,195,210,0,,,
1,1775669100848,-1986,2139,9514,54977,-102625,35430,0,0,0,343,332,260,362,207,311,536,460,318,426,484,139,0,,,
2,1775669100848,890,1981,15391,-3817907,1070235,-14660,0,0,0,233,426,239,319,356,355,330,300,256,177,196,208,0,,,
1,1775669100864,-2010,2144,9518,58643,-84299,35430,0,0,0,341,333,261,359,211,310,535,447,324,424,494,141,0,,,
2,1775669100864,1043,1450,15352,-3734830,1148426,179594,0,0,0,233,428,240,320,359,356,336,305,257,170,191,210,0,,,
1,1775669100880,-2019,2158,9514,68416,-63529,35430,0,0,0,336,330,258,351,254,307,533,447,314,428,489,143,0,,,
2,1775669100880,1024,751,15137,-3588222,1219287,406836,0,0,0,233,430,242,321,359,356,339,307,259,166,183,211,0,,,
1,1775669100896,-1995,2144,9514,86742,-48869,36651,0,0,0,340,332,261,368,224,318,533,451,307,428,489,148,0,,,
