sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,brick
1,1775671633120,-6724,-15238,33701,-6174625,-2862514,-3753156,0,0,0,231,300,234,264,197,315,318,253,296,178,220,131,0,
2,1775671633120,1402,540,10916,860098,10995,-272445,0,0,0,495,538,354,496,484,531,503,274,379,271,174,542,0,
1,1775671633136,-5580,-26503,30796,-5811771,-2641381,-3585778,0,0,0,231,300,235,267,198,315,325,260,297,179,223,130,0,
2,1775671633136,1392,540,11375,1087340,-9773,-305432,0,0,0,506,548,347,502,486,529,480,246,378,275,170,560,0,
1,1775671633152,-2440,-40248,21761,-4893030,-2230879,-1962099,0,0,0,236,304,236,272,199,316,325,258,293,185,227,131,0,
2,1775671633152,1282,536,11950,1376890,0,-328645,0,0,0,518,562,332,509,497,532,453,235,382,279,174,572,0,
1,1775671633168,6642,-49164,14778,-3282789,-2006081,383623,0,0,0,237,304,233,274,199,314,331,255,292,190,227,129,0,
2,1775671633168,1115,454,12816,1761735,59864,-338419,0,0,0,514,562,299,514,507,537,424,237,387,281,183,589,0,
1,1775671633184,15171,-48733,14079,-1310916,-761138,1739744,0,0,0,233,294,222,270,195,301,354,295,285,214,271,119,0,
2,1775671633184,1249,416,13993,2289522,46425,-334754,0,0,0,522,567,285,505,520,542,386,236,389,275,184,594,0,
1,1775671633200,13438,-39353,17597,996932,1534493,1859473,0,0,0,232,271,195,267,183,275,400,368,270,261,341,101,0,
2,1775671633200,1794,459,15027,2857627,-100181,-357967,0,0,0,522,567,260,495,520,534,335,222,382,277,191,604,0,
1,1775671633216,1196,-12730,18296,2932153,3385415,995710,0,0,0,237,252,164,270,168,254,447,425,257,303,384,89,0,
2,1775671633216,2598,478,15841,3519805,-339641,-455705,0,0,0,523,567,254,499,527,544,298,214,379,271,183,599,0,
1,1775671633232,-7915,12251,14094,4615697,4250400,35430,0,0,0,246,254,158,277,168,258,463,463,265,328,414,88,0,
2,1775671633232,3412,502,16783,4257730,-565661,-648738,0,0,0,517,551,244,482,518,535,271,192,386,254,171,584,0,
1,1775671633248,-3086,8068,13993,5533217,2642603,-504574,0,0,0,251,257,160,291,168,268,469,469,287,372,424,85,0,
