step,predicted_ground_type,prob_Brick,prob_Concrete,prob_Grass,contact_time_sec,loading_rate,midstance_pressure,time_to_midstance,step_duration,stance_auc
159,Brick,0.415,0.405,0.18,180.912,2062.50000000041,1894.0,0.0,70,3904.0240000000576
160,Brick,0.415,0.35,0.235,182.032,833.3333333334663,1839.0,0.0,71,3999.984000000019
161,Brick,0.415,0.365,0.22,183.168,1996.875000000307,1787.0,0.0,70,3869.880000000056
162,Brick,0.42,0.4,0.18,184.288,1798.4375000002697,1860.0,0.0,70,3889.9040000000564
163,Concrete,0.33,0.385,0.285,185.44,899.9999999999629,1859.0,0.0,72,3994.247999999981
164,Concrete,0.355,0.43,0.215,186.56,1429.6875000000534,1867.0,0.0,72,4027.007999999985
165,Concrete,0.36,0.41,0.23,187.712,2008.333333333155,1745.0,0.0,69,3870.5199999999722
166,Concrete,0.355,0.42,0.225,188.848,990.6250000000655,1734.0,0.0,71,3996.6879999999014
167,Concrete,0.335,0.41,0.255,189.984,1029.7619047619974,1812.0,0.0,72,4043.3439999999778
168,Concrete,0.365,0.415,0.22,191.136,1004.4642857143326,1568.0,0.0,72,4027.7199999999866
169,Concrete,0.33,0.42,0.25,192.256,1734.375000000101,1802.0,0.0,70,3873.5359999999337
170,Concrete,0.355,0.41,0.235,193.376,832.1428571428855,1750.0,0.0,70,3867.3360000000603
171,Concrete,0.34,0.45,0.21,194.48,1071.8750000001394,1926.0,0.0,70,3853.5440000000503
172,Concrete,0.39,0.4,0.21,195.616,1017.8571428571904,1878.0,0.0,69,3794.1759999999817
173,Concrete,0.365,0.435,0.2,196.72,1026.7857142857174,1928.0,0.0,69,3799.631999999972
174,Brick,0.4,0.395,0.205,197.824,1703.1250000006266,1885.0,0.0,70,3861.304000000061
175,Concrete,0.345,0.445,0.21,198.928,992.1875000000857,1987.0,0.0,71,3954.848000000016
176,Brick,0.395,0.39,0.215,200.064,1001.4880952381855,1871.0,0.0,69,3797.5519999999756
177,Concrete,0.345,0.415,0.24,201.2,1434.3749999998442,1711.0,0.0,69,3820.0639999999744
178,Concrete,0.36,0.395,0.245,202.32,782.8124999999616,1814.0,0.0,70,3926.672000000054
179,Concrete,0.345,0.435,0.22,203.392,1031.249999999961,1964.0,0.0,70,3863.7200000000544
180,Concrete,0.34,0.41,0.25,204.544,890.625000000019,1839.0,0.0,70,3852.9999999999354
181,Concrete,0.36,0.415,0.225,205.68,1143.7500000001687,1730.0,0.0,71,3924.04000000002
182,Concrete,0.35,0.415,0.235,206.816,1943.750000000287,1752.0,0.0,72,4017.103999999984
183,Concrete,0.36,0.42,0.22,207.936,937.5000000002235,1986.0,0.0,70,3853.9840000000568
184,Concrete,0.36,0.41,0.23,209.072,1278.125000000186,1782.0,0.0,71,3889.736000000019
185,Concrete,0.405,0.42,0.175,210.176,2226.5624999996357,1949.0,0.0,68,3754.000000000007
186,Concrete,0.39,0.405,0.205,211.296,946.8749999999236,1902.0,0.0,72,4018.343999999981
187,Concrete,0.365,0.405,0.23,212.432,1195.8333333332357,1997.0,0.0,71,3977.3760000000148
188,Brick,0.405,0.395,0.2,213.568,2112.50000000042,1945.0,0.0,71,3969.3200000000274
189,Brick,0.43,0.37,0.2,214.72,1656.249999999741,1771.0,0.0,71,3967.256000000018
190,Brick,0.405,0.405,0.19,215.856,1503.1249999999618,1613.0,0.0,69,3794.4879999999844
191,Concrete,0.375,0.425,0.2,216.96,,1932.0,0.0,71,3924.3920000000176
192,Brick,0.41,0.37,0.22,218.096,1671.8750000001842,1822.0,0.0,71,3926.0880000000197
193,Concrete,0.38,0.39,0.23,219.232,1295.7589285715362,1851.0,0.0,71,3936.848000000017
194,Concrete,0.37,0.385,0.245,220.4,1635.4166666667434,1746.0,0.0,72,4022.1999999999753
195,Concrete,0.33,0.395,0.275,221.552,1499.9999999997656,1840.0,0.0,73,4108.295999999946
196,Concrete,0.38,0.395,0.225,222.72,1289.4345238095264,1765.0,0.0,74,4171.632000000024
197,Concrete,0.28,0.44,0.28,223.872,1103.125000000149,1901.0,0.0,76,4303.783999999959
198,Concrete,0.375,0.395,0.23,225.088,948.1026785714103,1846.0,0.0,75,4142.127999999993
199,Concrete,0.35,0.395,0.255,226.272,1317.187499999679,1840.0,0.0,68,3706.296000000008
200,Concrete,0.34,0.43,0.23,227.488,1083.3333333333824,1738.0,0.0,76,4263.736000000064
