sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,compact ground
1,1778968591280,-875,655,10251,1091005,-279776,45204,0,0,0,541,490,470,463,393,433,655,519,449,591,573,489,0,
2,1778968591280,8044,-2053,34481,8362745,-711047,-2190562,0,0,0,408,343,243,321,268,343,255,167,264,262,240,307,0,
1,1778968591296,-856,593,10150,1088561,-257785,23212,0,0,0,547,490,469,467,393,433,646,460,440,570,556,507,0,
2,1778968591296,7097,2579,37851,8602204,-140499,-2491108,0,0,0,357,299,274,269,183,313,297,197,256,261,271,268,0,
1,1778968591312,-1009,459,10083,1073901,-211359,18325,0,0,0,556,487,459,442,375,422,649,407,437,545,523,519,0,
2,1778968591312,7154,13993,31648,7711562,-717155,-2453234,0,0,0,351,325,285,270,200,338,292,207,266,256,286,278,0,
1,1778968591328,-1229,81,9987,1048244,-145385,52534,0,0,0,569,498,456,437,391,425,638,360,444,519,480,520,0,
2,1778968591328,10270,25819,20626,4497189,-2265088,-1467298,0,0,0,344,325,302,262,211,352,291,212,273,272,310,296,0,
1,1778968591344,-1306,-325,9791,994488,-74525,103847,0,0,0,588,515,435,440,410,431,639,329,437,506,460,521,0,
2,1778968591344,11131,24809,15453,175929,-2023185,577878,0,0,0,351,322,300,264,212,334,301,222,272,268,325,280,0,
1,1778968591360,-1316,-559,9667,926071,0,156381,0,0,0,609,551,431,461,422,438,638,292,442,484,420,536,0,
2,1778968591360,10390,18076,10720,-1937664,-1369559,2142915,0,0,0,374,318,288,276,220,328,294,226,269,278,336,291,0,
1,1778968591376,-1273,-646,9724,875980,52534,199142,0,0,0,629,558,433,478,454,451,631,271,455,497,404,574,0,
2,1778968591376,9782,13060,6465,-2156354,-360410,2602285,0,0,0,380,317,293,280,211,322,310,224,264,292,328,282,0,
1,1778968591392,-1273,-617,10064,860098,83077,265115,0,0,0,639,580,423,481,490,449,615,249,447,478,383,580,0,
2,1778968591392,5518,12864,6704,-2773328,753807,2245540,0,0,0,363,317,291,287,217,326,318,238,274,284,321,280,0,
1,1778968591408,-1277,-622,10648,927293,120951,342084,0,0,0,649,586,398,583,521,425,620,236,447,478,355,604,0,
2,1778968591408,1493,11294,8293,-3893655,778242,1964542,0,0,0,365,318,297,281,215,333,310,235,280,278,329,283,0,
1,1778968591424,-1378,-818,11184,1116661,241902,415388,0,0,0,657,602,360,535,509,456,609,236,437,430,300,613,0,
2,1778968591424,1005,7781,9016,-4862487,387288,1367116,0,0,0,371,318,289,283,218,329,310,234,270,289,331,281,0,
1,1778968591440,-1454,-1234,11351,1382998,342084,486248,0,0,0,683,634,341,559,534,468,602,240,443,430,287,646,0,
2,1778968591440,483,4977,9968,-5586973,509461,382401,0,0,0,373,325,298,288,225,337,311,239,271,289,337,293,0,
1,1778968591456,-1019,-1335,11466,1637118,316428,555887,0,0,0,696,651,323,558,561,477,582,237,439,405,266,656,0,
2,1778968591456,-1483,3656,11442,-6047565,761138,-487470,0,0,0,364,322,304,285,227,348,308,240,282,284,333,295,0,
1,1778968591472,-62,-1153,12050,1914451,216246,536339,0,0,0,693,659,313,566,575,498,546,229,430,399,270,661,0,
2,1778968591472,-3010,3005,12931,-6279694,708603,-839328,0,0,0,359,319,301,279,225,348,306,242,288,278,331,296,0,
1,1778968591488,186,-1100,13275,2229658,164933,445931,0,0,0,693,657,281,568,583,507,513,243,416,382,263,665,0,
2,1778968591488,-3345,2713,14548,-6370102,692721,-689055,0,0,0,360,320,291,278,226,337,306,245,283,276,333,279,0,
1,1778968591504,-559,-1273,14836,2718350,160046,378736,0,0,0,692,663,259,554,580,493,473,237,420,367,248,661,0,
2,1778968591504,-3019,2464,16362,-6494719,858876,-108734,0,0,0,361,321,282,279,225,324,307,243,283,274,330,261,0,
1,1778968591520,-1014,-1421,15635,3363424,184481,403171,0,0,0,691,662,258,540,566,481,412,223,430,352,232,652,0,
2,1778968591520,-2234,1579,18042,-6754947,959058,570548,0,0,0,364,319,283,279,225,321,308,240,289,272,327,262,0,
1,1778968591536,-512,-1363,15812,4105014,271224,409279,0,0,0,683,655,258,533,559,483,340,225,440,329,220,634,0,
2,1778968591536,-966,473,19698,-6933320,1010371,1119105,0,0,0,368,321,289,283,232,327,303,240,282,273,337,269,0,
